country,id,name,level
PL,PL-LB,Любуське воєводство,voivodship
PL,PL-MZ,Мазовецьке воєводство,voivodship
PL,PL-OP,Опольське воєводство,voivodship
PL,PL-PK,Підкарпатське воєводство,voivodship
PL,PL-PD,Підляське воєводство,voivodship
PL,PL-PM,Поморське воєводство,voivodship
PL,PL-SL,Сілезьке воєводство,voivodship
PL,PL-WN,Вармінсько-Мазурське воєводство,voivodship
PL,PL-ZP,Західнопоморське воєводство,voivodship
PL,PL-SK,Свентокшиське воєводство,voivodship
PT,PT-20,Азорські острови,autonomous region
PT,PT-02,Беджа,district
PT,PT-03,Брага,district
PT,PT-06,Коїмбра,district
PT,PT-10,Лейрія,district
PT,PT-11,Лісабон,district
PT,PT-30,Мадейра,autonomous region
PT,PT-13,Порту,district
PT,PT-15,Сетубал,district
RO,RO-AR,Арад,county
RO,RO-AG,Арг,county
RO,RO-BC,Бакеу,county
RO,RO-BN,Бистриця-Несеуд,county
RO,RO-BT,Ботошані,county
RO,RO-BV,Брашов,county
RO,RO-BR,Браїла,county
RO,RO-B,Бухарест,city
RO,RO-BZ,Бузеу,county
RO,RO-CS,Караш-Северін,county
RO,RO-CJ,Клуж-Напока,county
RO,RO-CT,Констанца,county
RO,RO-CV,Ковасна,county
RO,RO-CL,Келераші,county
RO,RO-DJ,Долж,county
RO,RO-DB,Димбовіца,county
RO,RO-GL,Галац,county
RO,RO-GR,Джурджу,county
RO,RO-GJ,Горж,county
RO,RO-HR,Харгіта,county
RO,RO-HD,Хунедоара,county
RO,RO-IS,Ясси,county
RO,RO-IF,Ілфов,county
RO,RO-MM,Мармарощина,county
RO,RO-MH,Мехедінць,county
RO,RO-MS,Муреш,county
RO,RO-NT,Нямц,county
RO,RO-SM,Сату-Маре,county
RO,RO-SB,Сібіу,county
RO,RO-SV,Сучава,county
RO,RO-TR,Телеорман,county
RO,RO-TM,Тиміш,county
RO,RO-TL,Тульча,county
RO,RO-VS,Васлуй,county
RO,RO-VL,Вилчя,county
RS,RS-00,Белград,city
RS,RS-02,Середньо-Банатський округ,district
RS,RS-03,Північно-Банатський округ,district
RS,RS-01,Північно-Бацький округ,district
RS,RS-04,Південно-Банатський округ,district
RS,RS-07,Сремський округ,district
SK,SK-BC,Банськобистрицький край,region
SK,SK-BL,Братиславський край,region
SK,SK-KI,Кошицький край,region
SK,SK-NI,Нітранський край,region
SK,SK-PV,Пряшівський край,region
SK,SK-TA,Трнавський край,region
SK,SK-ZI,Жилінський край,region
ES,ES-C,Ла-Корунья,province
ES,ES-AB,Альбасете,province
ES,ES-A,Аліканте,province
ES,ES-AL,Альмерія,province
ES,ES-AN,Андалусія,
ES,ES-AS,Астурія,autonomous community
ES,ES-BA,Бадахос,province
ES,ES-IB,Балеарські острови,autonomous community
ES,ES-B,Барселона,province
ES,ES-BU,Бургос,province
ES,ES-CA,Кадіс,province
ES,ES-S,Кантабрія,province
ES,ES-CM,Кастилія — Ла-Манча,autonomous community
ES,ES-CL,Кастилія-і-Леон,autonomous community
ES,ES-CT,Каталонія,autonomous community
ES,ES-CE,Сеута,autonomous city
ES,ES-CR,Сьюдад-Реаль,province
ES,ES-CU,Куенка,province
ES,ES-CO,Кордова,province
ES,ES-EX,Естремадура,autonomous community
ES,ES-SS,Гіпускоа,province
ES,ES-GI,Жирона,province
ES,ES-GR,Гранада,province
ES,ES-GU,Гвадалахара,province
ES,ES-H,Уельва,province
ES,ES-HU,Уеска,province
